Verb,English,Past participle
apercevoir,to glimpse,aperçu
avoir ,to have ,eu
boire,to drink,bu
connaitre ,to know,connu
croire,to believe,cru
devoir,to have to ,du
lire,to read,lu
obtenir ,to obtain,obtenu
paraitre,"to appear, seem",paru
plaire,to please ,plu
pleuvoir,to rain,plu
pouvoir ,to be able to,pu
recevoir,to receive,reçu
revoir,to see again,revu
savoir,to know ,su
tenir,to hold ,tenu
vivre,to live ,vécu
voir,to see again,vu
vouloir,"to wish, want to",voulu
apprendre,to learn,appris
comprendre,to understand,compris 
mettre,to put,mis
permettre,"to allow, permit",permis
prendre,to take,pris
promettre,to promise,promis
remettre,"to postpone, submit",remis
conduire,to drive,conduit
couvrir,to cover,couvert
découvrir,to discover,découvert
dire,to say ,dit
écrire,to write,écrit
faire ,"to do, to make",fait
feindre de,to pretend to,feint
offrir,to offer,offert
ouvrir,to open,ouvert
produire,to produce,produit
réduire,to reduce ,réduit
souffrir,to suffer,souffert
traduire,to translate,traduit
dormir,to sleep,dormi
mentir,to lie,menti
poursuivre,"to pursue, continue",poursuivi
rire,to laugh,ri
sentir,"to feel, to smell",senti
servir,to serve,servi
sourire,to smile,souri
suivre,to follow,suivi